,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit
0,2020-12-05 18:59:55.787659,943,273,0.0,7.864163690702173,257439,508913,0
1,2020-12-05 18:59:56.831700,915,608,121.7,7.843704061968748,556320,556317,0
2,2020-12-05 18:59:57.915409,934,572,119.0,7.868460701032821,534248,518178,0
3,2020-12-05 18:59:58.970789,906,518,115.5,7.871414895635142,469308,463231,0
4,2020-12-05 18:59:59.999358,837,417,112.8,7.853958291166886,349029,306601,0
5,2020-12-05 19:00:01.023364,717,351,111.3,7.856375359477874,251667,246410,0
6,2020-12-05 19:00:02.107064,975,481,117.2,7.857205463746294,468975,548359,0
7,2020-12-05 19:00:03.132765,986,538,145.4,7.9990312194890905,530468,508920,0
8,2020-12-05 19:00:04.154715,663,348,110.60000000000001,7.9861157736657225,230724,146442,0
9,2020-12-05 19:00:05.179715,255,187,109.30000000000001,7.989265286919436,47685,32258,0
10,2020-12-05 19:00:06.203682,121,203,119.10000000000001,7.9780100496329105,24563,30339,0
11,2020-12-05 19:00:07.263994,504,242,102.8,7.865994803058983,121968,223428,0
12,2020-12-05 19:00:08.351722,906,583,114.9,7.871878777432198,528198,534862,0
13,2020-12-05 19:00:09.435495,905,538,116.2,7.869779101929724,486890,504235,0
14,2020-12-05 19:00:10.523573,921,577,122.3,7.865897143733287,531417,566557,0
15,2020-12-05 19:00:11.583398,938,605,117.0,7.8471465531995515,567490,555785,0
16,2020-12-05 19:00:12.608310,946,568,121.0,7.868070063730035,537328,547535,0
17,2020-12-05 19:00:13.691452,945,604,116.4,7.870389472715328,570780,562833,0
18,2020-12-05 19:00:14.779467,982,543,119.5,7.949591185855219,533226,548545,0
19,2020-12-05 19:00:15.836833,943,592,122.0,7.927300444764984,558256,569170,0
20,2020-12-05 19:00:16.859645,961,572,116.3,7.948150710801195,549692,543377,0
21,2020-12-05 19:00:17.883402,959,554,114.3,7.847878998142275,531286,515166,0
22,2020-12-05 19:00:18.975653,923,514,116.3,7.873563400800465,474422,485973,0
23,2020-12-05 19:00:20.027413,966,553,113.2,7.8749062165287915,534198,548949,0
24,2020-12-05 19:00:21.083755,978,553,124.10000000000001,7.859573702394436,540834,555846,0
25,2020-12-05 19:00:22.110992,1001,556,114.8,7.86875367900991,556556,547680,0
26,2020-12-05 19:00:23.165149,1035,523,119.60000000000001,7.870658035860993,541305,552241,0
27,2020-12-05 19:00:24.219422,969,608,120.5,7.871878777432199,589152,594533,0
28,2020-12-05 19:00:25.247678,952,589,125.5,7.8816447100018525,560728,560329,0
29,2020-12-05 19:00:26.364566,900,681,122.80000000000001,7.882303910450305,612900,623503,0
30,2020-12-05 19:00:27.387309,889,608,112.4,7.886722994938073,540512,533990,0
31,2020-12-05 19:00:28.416869,966,593,118.5,7.870120909569661,572838,575559,0
32,2020-12-05 19:00:29.472209,949,588,121.3,7.872244999903562,558012,572461,0
33,2020-12-05 19:00:30.555779,938,582,117.2,7.898002647056023,545916,552181,0
34,2020-12-05 19:00:31.579380,915,536,117.2,7.872269414734985,490440,459808,0
35,2020-12-05 19:00:32.602945,816,548,115.3,7.851541222855896,447168,433574,0
36,2020-12-05 19:00:33.632888,826,503,114.6,7.850003088476175,415478,420753,0
37,2020-12-05 19:00:34.683673,942,554,118.89999999999999,7.8464873527511,521868,545758,0
38,2020-12-05 19:00:35.707645,916,567,122.0,7.871683458780806,519372,524277,0
39,2020-12-05 19:00:36.732301,904,522,110.3,7.85027165162184,471888,460974,0
40,2020-12-05 19:00:37.759373,884,495,110.0,7.874076112260371,437580,486323,0
