,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit
0,2020-12-05 20:22:24.443541,206,32,0.0,7.76569867556864,6592,16891,0
1,2020-12-05 20:22:25.467351,221,53,15.7,7.767114735791239,11713,12335,0
2,2020-12-05 20:22:26.491419,161,82,18.6,7.767871595565387,13202,12590,0
3,2020-12-05 20:22:27.579362,186,60,14.7,7.767676276913994,11160,10310,0
4,2020-12-05 20:22:28.603362,186,43,20.6,7.8025162413562335,7998,9486,0
5,2020-12-05 20:22:29.659465,200,56,22.7,7.918633179609417,11200,12861,0
6,2020-12-05 20:22:30.683336,220,56,20.5,7.875443342820123,12320,13371,0
7,2020-12-05 20:22:31.739462,214,59,13.3,7.878763759893804,12626,13144,0
8,2020-12-05 20:22:32.763452,180,64,18.6,7.792530575303763,11520,11213,0
9,2020-12-05 20:22:33.787441,209,55,14.7,7.7898449438471085,11495,12951,0
10,2020-12-05 20:22:34.843397,190,56,17.9,7.797242637768621,10640,11774,0
11,2020-12-05 20:22:35.899385,212,59,18.900000000000002,7.779615129480396,12508,11891,0
12,2020-12-05 20:22:36.923445,179,55,14.6,7.776636520046651,9845,12795,0
13,2020-12-05 20:22:37.947466,225,72,16.6,7.777198061169407,16200,12475,0
14,2020-12-05 20:22:38.971427,205,58,15.7,7.779663959143244,11890,12474,0
15,2020-12-05 20:22:39.999440,211,57,15.6,7.786231548796337,12027,12957,0
16,2020-12-05 20:22:41.051375,201,62,18.099999999999998,7.783545917339682,12462,12836,0
17,2020-12-05 20:22:42.079275,206,55,37.0,7.777173646337983,11330,14623,0
18,2020-12-05 20:22:43.099908,131,68,18.7,7.7757575861153825,8908,6606,0
19,2020-12-05 20:22:44.155806,189,49,19.799999999999997,7.7848887330680085,9261,10562,0
20,2020-12-05 20:22:45.179486,135,49,21.5,7.779029173526217,6615,6622,0
21,2020-12-05 20:22:46.203332,161,57,20.6,7.874613238551702,9177,10335,0
22,2020-12-05 20:22:47.519785,871,229,17.6,7.858743598126015,199459,206663,0
23,2020-12-05 20:22:48.571264,209,136,18.1,7.781836879139993,28424,21082,0
24,2020-12-05 20:22:49.595346,201,61,17.6,7.781714804982871,12261,12944,0
25,2020-12-05 20:22:50.623839,192,58,19.5,7.783936554642468,11136,12307,0
26,2020-12-05 20:22:51.707528,184,56,16.599999999999998,7.784351606776678,10304,12518,0
27,2020-12-05 20:22:52.735441,145,57,19.4,7.7856700076735805,8265,7165,0
28,2020-12-05 20:22:53.787385,144,44,14.3,7.792115523169553,6336,8103,0
29,2020-12-05 20:22:54.811918,176,54,17.6,7.796949659791531,9504,10513,0
30,2020-12-05 20:22:55.871736,194,57,18.8,7.79741354158859,11058,11633,0
31,2020-12-05 20:22:56.927362,193,62,15.1,7.798121571699889,11966,12420,0
32,2020-12-05 20:22:58.235395,167,40,15.3,7.799708535742457,6680,9871,0
33,2020-12-05 20:22:59.259414,139,54,15.6,7.806031977081309,7506,7231,0
34,2020-12-05 20:23:00.315336,135,69,21.7,7.7664555353427875,9315,9479,0
35,2020-12-05 20:23:01.344100,194,61,14.6,7.766577609499908,11834,12432,0
36,2020-12-05 20:23:02.395641,170,62,19.0,7.774927481846962,10540,9888,0
37,2020-12-05 20:23:03.451383,183,64,16.099999999999998,7.774927481846962,11712,13671,0
38,2020-12-05 20:23:04.479833,191,46,14.6,7.772901050838758,8786,5778,0
39,2020-12-05 20:23:05.563478,190,41,21.1,7.7779549209435555,7790,9230,0
40,2020-12-05 20:23:06.591431,153,47,14.6,7.780494063411664,7191,9118,0
41,2020-12-05 20:23:07.643477,175,46,16.2,7.778443217572038,8050,5715,0
42,2020-12-05 20:23:08.671792,52,1,13.7,7.78005459644603,52,264,0
43,2020-12-05 20:23:09.755721,139,30,13.8,7.77627029757529,4170,4687,0
44,2020-12-05 20:23:10.784023,150,35,18.5,7.778003750606403,5250,8445,0
45,2020-12-05 20:23:11.836092,168,51,35.2,7.773779984770028,8568,7921,0
46,2020-12-05 20:23:12.859559,137,65,17.7,7.77680742386662,8905,9320,0
47,2020-12-05 20:23:13.883658,168,75,15.6,7.773902058927149,12600,13263,0
48,2020-12-05 20:23:14.907838,153,76,15.6,7.77922449217761,11628,10743,0
49,2020-12-05 20:23:15.963358,154,43,18.0,7.784668999585191,6622,7433,0
50,2020-12-05 20:23:16.987374,181,61,15.6,7.779810448131789,11041,9401,0
51,2020-12-05 20:23:18.011326,206,46,14.7,7.77780843195501,9476,12045,0
52,2020-12-05 20:23:19.035317,191,55,14.7,7.7753669488125965,10505,8649,0
53,2020-12-05 20:23:20.059775,192,37,20.6,7.7795418849861235,7104,9028,0
54,2020-12-05 20:23:21.083673,234,58,12.7,7.777906091280707,13572,8803,0
55,2020-12-05 20:23:22.139352,159,55,19.0,7.777613113303617,8745,10348,0
56,2020-12-05 20:23:23.167436,137,62,16.6,7.781031189702995,8494,10024,0
57,2020-12-05 20:23:24.252859,175,56,15.7,7.782593738914141,9800,9867,0
58,2020-12-05 20:23:25.275526,172,63,21.6,7.789771699352836,10836,9714,0
59,2020-12-05 20:23:26.331322,95,26,14.2,7.791065685418315,2470,2115,0
60,2020-12-05 20:23:27.391662,182,53,16.0,7.798731942485494,9646,10359,0
61,2020-12-05 20:23:28.733121,140,54,14.8,7.802442996861961,7560,9157,0
62,2020-12-05 20:23:29.755373,176,56,16.6,7.807057400001122,9856,9827,0
63,2020-12-05 20:23:30.779345,185,55,16.7,7.807570111461029,10175,9882,0
64,2020-12-05 20:23:31.867381,170,51,15.6,7.808131652583784,8670,11491,0
65,2020-12-05 20:23:32.891440,160,58,15.6,7.791895789686736,9280,10003,0
66,2020-12-05 20:23:33.915761,180,66,14.7,7.791822545192463,11880,11739,0
67,2020-12-05 20:23:34.939621,196,58,16.6,7.7955580144003545,11368,10874,0
68,2020-12-05 20:23:35.967433,131,49,16.6,7.803444004950351,6419,7985,0
69,2020-12-05 20:23:37.051355,183,60,18.400000000000002,7.7914319078896765,10980,9813,0
70,2020-12-05 20:23:38.075371,113,29,15.7,7.790528559126985,3277,3723,0
71,2020-12-05 20:23:39.099343,136,48,17.6,7.803004537984718,6528,8565,0
72,2020-12-05 20:23:40.123840,162,51,18.6,7.8084490453922974,8262,5660,0
73,2020-12-05 20:23:41.179376,169,41,15.2,7.800001513719548,6929,10851,0
74,2020-12-05 20:23:42.491424,159,54,16.0,7.808449045392299,8586,12310,0
75,2020-12-05 20:23:43.519430,170,67,19.5,7.895536749082186,11390,10949,0
76,2020-12-05 20:23:44.635306,155,55,17.0,7.8911420794258404,8525,9959,0
77,2020-12-05 20:23:45.659314,169,63,38.2,7.873685474957584,10647,10816,0
78,2020-12-05 20:23:46.715324,141,66,16.1,7.796900830128683,9306,8434,0
79,2020-12-05 20:23:47.739320,144,53,15.6,7.797901838217072,7632,7047,0
80,2020-12-05 20:23:48.763316,166,41,16.6,7.779956937120334,6806,7901,0
81,2020-12-05 20:23:49.787400,294,58,17.6,7.784058628799588,17052,10477,0
82,2020-12-05 20:23:50.847323,170,50,17.9,7.791090100249739,8500,9796,0
83,2020-12-05 20:23:51.931340,161,57,13.8,7.791114515081163,9177,9833,0
84,2020-12-05 20:23:52.955354,157,45,16.6,7.791114515081163,7065,7312,0
85,2020-12-05 20:23:53.979360,182,57,17.6,7.77131408679619,10374,10744,0
86,2020-12-05 20:23:55.007361,158,37,16.6,7.776050564092472,5846,6177,0
87,2020-12-05 20:23:56.091359,155,51,17.5,7.78217868677993,7905,8886,0
88,2020-12-05 20:23:57.147433,153,40,17.0,7.788013831490298,6120,5539,0
89,2020-12-05 20:23:58.203329,149,48,17.0,7.7894298917128975,7152,9870,0
90,2020-12-05 20:23:59.227341,144,66,16.6,7.791456322721102,9504,9509,0
91,2020-12-05 20:24:00.251406,172,74,15.7,7.793555998223576,12728,14320,0
92,2020-12-05 20:24:01.275314,181,61,14.7,7.7934339240664565,11041,9844,0
93,2020-12-05 20:24:02.299276,148,54,16.6,7.794361687660573,7992,9733,0
94,2020-12-05 20:24:03.355560,176,61,17.0,7.778272313752069,10736,11622,0
95,2020-12-05 20:24:04.379460,155,43,17.6,7.777784017123587,6665,5857,0
96,2020-12-05 20:24:05.435389,195,51,19.8,7.8598178507086764,9945,11773,0
97,2020-12-05 20:24:06.459484,162,64,16.6,7.857376367566263,10368,9202,0
98,2020-12-05 20:24:07.515334,197,78,17.0,7.856424189140722,15366,15182,0
99,2020-12-05 20:24:08.539335,191,58,13.7,7.859964339697221,11078,11428,0
100,2020-12-05 20:24:09.563422,157,58,17.6,7.857034559926325,9106,9023,0
101,2020-12-05 20:24:10.587418,173,58,19.6,7.861697792728335,10034,10440,0
102,2020-12-05 20:24:11.611343,181,56,17.6,7.864529913173536,10136,11038,0
103,2020-12-05 20:24:12.668626,167,72,15.1,7.866898151821676,12024,18088,0
104,2020-12-05 20:24:13.723310,194,111,14.200000000000001,7.867703841258672,21534,12951,0
105,2020-12-05 20:24:14.779358,189,55,15.1,7.785230540707947,10395,11384,0
106,2020-12-05 20:24:15.803732,166,50,18.6,7.786988408570484,8300,8617,0
107,2020-12-05 20:24:16.831336,132,45,14.6,7.783936554642468,5940,6471,0
