,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit
0,2020-12-05 21:30:47.163979,839,143,0.0,8.039706328641698,119977,220548,0
1,2020-12-05 21:30:48.219715,980,426,75.7,8.036532400556561,417480,520445,0
2,2020-12-05 21:30:49.307619,1043,535,75.4,8.03824143875625,558005,519619,0
3,2020-12-05 21:30:50.331318,808,275,69.3,8.03924244684464,222200,129990,0
4,2020-12-05 21:30:51.359316,257,126,65.2,8.033236398314303,32382,19633,0
5,2020-12-05 21:30:52.383336,83,115,82.0,8.171839396309112,9545,16086,0
6,2020-12-05 21:30:53.467516,607,180,75.5,8.207973346816832,109260,224132,0
7,2020-12-05 21:30:54.495330,1008,484,81.7,8.033846769099906,487872,484201,0
8,2020-12-05 21:30:55.583365,967,491,84.5,8.152771412966864,474797,492404,0
9,2020-12-05 21:30:56.603938,1004,497,74.39999999999999,8.142981065565786,498988,498664,0
10,2020-12-05 21:30:57.663313,1021,514,75.5,8.123327126269357,524794,543177,0
11,2020-12-05 21:30:58.682614,1033,528,105.0,8.029012632477928,545424,536225,0
12,2020-12-05 21:30:59.708204,947,505,88.8,8.07874564408889,478235,496187,0
13,2020-12-05 21:31:00.831405,1011,537,82.8,8.02442264417019,542907,562350,0
14,2020-12-05 21:31:01.915362,1034,560,81.2,8.026571149335513,579040,571304,0
15,2020-12-05 21:31:02.943999,1037,509,78.8,8.027572157423903,527833,525575,0
16,2020-12-05 21:31:03.995413,983,551,78.0,8.027718646412449,541633,530156,0
17,2020-12-05 21:31:05.023351,988,451,76.89999999999999,8.033285227977151,445588,437656,0
18,2020-12-05 21:31:06.111299,995,521,80.80000000000001,8.03304107966291,518395,560042,0
19,2020-12-05 21:31:07.167811,947,615,78.6,8.033260813145727,582405,573420,0
20,2020-12-05 21:31:08.251341,1038,555,75.7,8.057407081424197,576090,560184,0
21,2020-12-05 21:31:09.275449,1045,508,82.1,8.057822133558407,530860,538764,0
22,2020-12-05 21:31:10.303670,1019,530,80.7,8.038729735384733,540070,560001,0
23,2020-12-05 21:31:11.356249,1020,545,84.6,8.038925054036126,555900,555266,0
24,2020-12-05 21:31:12.379458,996,566,81.1,8.066391739388276,563736,558897,0
25,2020-12-05 21:31:13.407337,961,527,84.7,8.041195633358571,506447,523714,0
26,2020-12-05 21:31:14.463001,1012,568,83.4,8.041928078301295,574816,577815,0
27,2020-12-05 21:31:15.519310,997,551,83.3,8.065244242311342,549347,557039,0
28,2020-12-05 21:31:16.607768,1021,524,79.0,8.053427463902063,535004,529070,0
29,2020-12-05 21:31:17.659085,994,474,79.0,8.039608669316003,471156,468046,0
