,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit
0,2020-12-05 16:10:38.619677,597,79,0.0,8.3456241663861,47163,89144,0
1,2020-12-05 16:10:39.643318,541,95,11.8,8.347235545260093,51395,45225,0
2,2020-12-05 16:10:40.699275,251,90,11.299999999999999,8.342596727289507,22590,27278,0
3,2020-12-05 16:10:41.727708,288,87,11.7,8.3442081061635,25056,48654,0
4,2020-12-05 16:10:42.780193,581,121,12.5,8.345819485037492,70301,59801,0
5,2020-12-05 16:10:43.835634,770,196,14.2,8.347430863911487,150920,134598,0
6,2020-12-05 16:10:44.863560,815,171,12.700000000000001,8.343011779423717,139365,138414,0
7,2020-12-05 16:10:45.915736,251,77,10.6,8.343011779423717,19327,18779,0
8,2020-12-05 16:10:46.939282,215,73,12.8,8.344598743466285,15695,95096,0
9,2020-12-05 16:10:47.962480,780,165,12.8,8.347797086382847,128700,83996,0
10,2020-12-05 16:10:48.987344,768,165,12.7,8.343158268412264,126720,124752,0
11,2020-12-05 16:10:50.011325,616,126,14.700000000000001,8.34337800189508,77616,51685,0
12,2020-12-05 16:10:51.035308,309,82,10.9,8.34337800189508,25338,12442,0
13,2020-12-05 16:10:52.059310,142,71,7.9,8.338739183924496,10082,10954,0
14,2020-12-05 16:10:53.115386,239,76,8.4,8.34154688953827,18164,17707,0
15,2020-12-05 16:10:54.175288,134,70,9.5,8.343158268412262,9380,9888,0
16,2020-12-05 16:10:55.227307,175,73,7.699999999999999,8.344769647286256,12775,10160,0
17,2020-12-05 16:10:56.283430,471,114,7.4,8.346381026160248,53694,53728,0
18,2020-12-05 16:10:57.338579,229,86,9.399999999999999,8.341742208189663,19694,20558,0
19,2020-12-05 16:10:58.395791,152,93,9.399999999999999,8.345013795600497,14136,11781,0
20,2020-12-05 16:10:59.483296,159,92,6.3999999999999995,8.345013795600497,14628,10730,0
21,2020-12-05 16:11:00.507335,125,71,8.9,8.340326147967064,8875,17313,0
22,2020-12-05 16:11:01.531335,195,89,5.9,8.341937526841056,17355,9739,0
23,2020-12-05 16:11:02.555823,130,68,8.9,8.340057584821398,8840,8805,0
24,2020-12-05 16:11:03.615288,169,79,7.5,8.34166896369539,13351,11542,0
25,2020-12-05 16:11:04.667219,503,116,10.6,8.343280342569383,58348,66070,0
26,2020-12-05 16:11:05.691317,208,78,7.9,8.344891721443377,16224,7797,0
27,2020-12-05 16:11:06.719764,499,118,11.7,8.340765614932698,58882,60741,0
28,2020-12-05 16:11:07.803249,164,73,8.2,8.34237699380669,11972,10123,0
29,2020-12-05 16:11:08.828434,209,81,9.9,8.343988372680682,16929,16592,0
30,2020-12-05 16:11:09.851552,134,62,9.8,8.343988372680682,8308,9540,0
31,2020-12-05 16:11:10.875799,681,135,12.8,8.345599751554676,91935,94095,0
32,2020-12-05 16:11:11.931274,185,76,15.100000000000001,8.341009763246939,14060,10339,0
33,2020-12-05 16:11:12.955341,426,98,14.7,8.344232520994925,41748,48267,0
34,2020-12-05 16:11:14.043277,494,109,9.200000000000001,8.345843899868918,53846,188674,0
35,2020-12-05 16:11:15.259276,994,400,8.2,8.341693378526815,397600,259340,0
36,2020-12-05 16:11:16.287790,620,126,18.299999999999997,8.341693378526815,78120,86639,0
37,2020-12-05 16:11:17.371287,412,135,11.9,8.343304757400809,55620,62926,0
38,2020-12-05 16:11:18.431363,651,145,14.1,8.3449161362748,94395,105829,0
39,2020-12-05 16:11:19.515289,740,162,19.3,8.34091210392124,119880,117744,0
40,2020-12-05 16:11:20.575292,670,130,16.0,8.344134861669229,87100,89598,0
41,2020-12-05 16:11:21.659246,601,178,16.5,8.339496043698642,106978,104812,0
42,2020-12-05 16:11:22.683702,790,166,14.7,8.341107422572634,131140,128542,0
43,2020-12-05 16:11:23.771279,732,160,15.6,8.342718801446628,117120,124065,0
44,2020-12-05 16:11:24.795295,774,166,15.7,8.344330180320622,128484,117013,0
45,2020-12-05 16:11:25.819297,743,149,13.8,8.339691362350035,110707,163560,0
46,2020-12-05 16:11:26.847310,741,162,14.6,8.341302741224027,120042,73546,0
47,2020-12-05 16:11:27.899488,697,162,18.1,8.342889705266597,112914,154293,0
48,2020-12-05 16:11:28.955324,847,199,16.0,8.346112463014581,168553,138089,0
49,2020-12-05 16:11:30.011235,716,167,17.1,8.339862266170005,119572,119788,0
50,2020-12-05 16:11:31.099378,776,180,14.600000000000001,8.341473645043997,139680,146458,0
51,2020-12-05 16:11:32.123695,816,190,17.6,8.34308502391799,155040,158843,0
52,2020-12-05 16:11:33.183694,771,183,15.1,8.344696402791982,141093,114333,0
53,2020-12-05 16:11:34.235387,472,104,12.5,8.340057584821398,49088,62235,0
54,2020-12-05 16:11:35.295289,810,181,13.100000000000001,8.34166896369539,146610,142716,0
55,2020-12-05 16:11:36.347340,686,152,15.3,8.343280342569383,104272,124093,0
56,2020-12-05 16:11:37.435652,693,137,15.5,8.344891721443375,94941,72595,0
57,2020-12-05 16:11:38.495339,531,115,16.1,8.34166896369539,61065,79883,0
58,2020-12-05 16:11:39.551734,780,175,16.0,8.34166896369539,136500,131631,0
59,2020-12-05 16:11:40.603548,724,157,16.2,8.34325592773796,113668,272271,0
60,2020-12-05 16:11:41.627270,932,253,15.700000000000001,8.344867306611953,235796,71640,0
61,2020-12-05 16:11:42.655557,648,134,13.6,8.340155244147095,86832,74776,0
62,2020-12-05 16:11:43.711363,331,91,13.299999999999999,8.341766623021087,30121,35181,0
63,2020-12-05 16:11:44.731288,812,195,14.8,8.343988372680684,158340,200827,0
64,2020-12-05 16:11:45.787338,719,161,13.2,8.343988372680684,115759,88154,0
65,2020-12-05 16:11:46.843285,640,138,15.2,8.339325139878675,88320,74249,0
66,2020-12-05 16:11:47.903485,509,104,12.2,8.340936518752667,52936,67337,0
67,2020-12-05 16:11:48.987358,916,263,17.5,8.344159276500651,240908,230383,0
68,2020-12-05 16:11:50.043341,585,110,15.1,8.344232520994925,64350,78460,0
69,2020-12-05 16:11:51.067507,848,217,16.7,8.345819485037492,184016,181080,0
70,2020-12-05 16:11:52.095300,700,149,14.6,8.345819485037492,104300,102530,0
71,2020-12-05 16:11:53.151248,677,130,15.2,8.34857836098842,88010,86217,0
72,2020-12-05 16:11:54.235681,684,149,16.6,8.343939543017836,101916,111320,0
73,2020-12-05 16:11:55.291320,572,123,11.299999999999999,8.345550921891828,70356,45006,0
74,2020-12-05 16:11:56.378624,382,96,11.9,8.34716230076582,36672,38860,0
75,2020-12-05 16:11:57.434986,288,82,11.399999999999999,8.348773679639814,23616,18212,0
76,2020-12-05 16:11:58.463287,138,84,9.7,8.350385058513806,11592,10590,0
77,2020-12-05 16:11:59.515344,146,96,10.6,8.345746240543221,14016,22275,0
78,2020-12-05 16:12:00.539345,259,75,10.8,8.347333204585789,19425,17287,0
79,2020-12-05 16:12:01.599307,279,84,10.4,8.348944583459783,23436,16723,0
80,2020-12-05 16:12:02.651746,133,71,10.6,8.348944583459783,9443,9210,0
81,2020-12-05 16:12:03.739306,185,93,11.0,8.344256935826348,17205,14400,0
82,2020-12-05 16:12:04.799319,215,81,10.3,8.345868314700342,17415,18086,0
83,2020-12-05 16:12:05.855287,191,81,11.299999999999999,8.347479693574334,15471,31589,0
84,2020-12-05 16:12:06.911240,764,190,15.2,8.349091072448328,145160,160506,0
85,2020-12-05 16:12:07.967283,750,171,12.299999999999999,8.346063633351735,128250,125220,0
86,2020-12-05 16:12:09.051337,750,174,13.7,8.347675012225729,130500,133336,0
87,2020-12-05 16:12:10.079295,753,168,13.600000000000001,8.34928639109972,126504,140774,0
88,2020-12-05 16:12:11.164808,816,274,23.9,8.34928639109972,223584,197194,0
89,2020-12-05 16:12:12.223310,534,152,13.1,8.344647573129135,81168,96063,0
90,2020-12-05 16:12:13.307286,739,161,15.6,8.346258952003128,118979,120402,0
91,2020-12-05 16:12:14.331290,782,162,15.7,8.347845916045697,126684,198988,0
92,2020-12-05 16:12:15.355277,882,254,18.7,8.348700435145542,224028,148002,0
93,2020-12-05 16:12:16.379300,646,154,14.7,8.344037202343532,99484,89590,0
94,2020-12-05 16:12:17.435787,484,106,13.299999999999999,8.345648581217525,51304,43742,0
95,2020-12-05 16:12:18.492678,674,134,16.0,8.346185707508855,90316,173462,0
96,2020-12-05 16:12:19.547252,887,268,17.9,8.344964965937647,237716,190245,0
97,2020-12-05 16:12:20.575319,829,184,18.4,8.343695394703593,152536,138558,0
98,2020-12-05 16:12:21.659666,646,133,13.799999999999999,8.345306773577585,85918,80653,0
99,2020-12-05 16:12:22.747562,665,132,13.7,8.345306773577585,87780,77353,0
100,2020-12-05 16:12:23.807286,431,99,12.2,8.346918152451579,42669,39686,0
101,2020-12-05 16:12:24.892398,729,165,15.6,8.342596727289507,120285,131282,0
102,2020-12-05 16:12:25.947271,694,155,14.2,8.3442081061635,107570,113722,0
103,2020-12-05 16:12:27.007581,916,289,18.799999999999997,8.347430863911486,264724,296776,0
104,2020-12-05 16:12:28.059534,872,219,15.3,8.349017827954054,190968,167862,0
105,2020-12-05 16:12:29.115250,686,140,12.2,8.344379009983468,96040,81467,0
106,2020-12-05 16:12:30.139339,467,97,13.8,8.345990388857462,45299,118896,0
107,2020-12-05 16:12:31.163642,863,223,14.8,8.345990388857462,192449,146878,0
108,2020-12-05 16:12:32.251335,767,172,13.799999999999999,8.347601767731454,131924,98131,0
109,2020-12-05 16:12:33.279313,245,79,12.5,8.342962949760869,19355,21661,0
110,2020-12-05 16:12:34.363340,925,259,14.6,8.344574328634861,239575,245417,0
111,2020-12-05 16:12:35.391281,321,121,11.7,8.346185707508853,38841,33210,0
112,2020-12-05 16:12:36.507268,333,115,14.4,8.347797086382847,38295,39331,0
113,2020-12-05 16:12:37.563348,586,111,10.399999999999999,8.34940846525684,65046,64703,0
114,2020-12-05 16:12:38.591336,317,81,11.6,8.344769647286254,25677,24057,0
115,2020-12-05 16:12:39.675263,215,86,11.9,8.346381026160248,18490,11567,0
116,2020-12-05 16:12:40.699440,203,68,9.9,8.346381026160248,13804,22340,0
117,2020-12-05 16:12:41.787271,220,79,10.0,8.34799240503424,17380,11133,0
118,2020-12-05 16:12:42.816361,281,107,12.5,8.343353587063655,30067,47541,0
119,2020-12-05 16:12:43.835305,633,134,11.9,8.344964965937647,84822,71773,0
120,2020-12-05 16:12:44.895288,613,128,10.2,8.34716230076582,78464,71266,0
121,2020-12-05 16:12:45.979343,155,73,12.9,8.34249906796381,11315,16010,0
122,2020-12-05 16:12:47.007296,205,79,9.7,8.344110446837803,16195,10804,0
123,2020-12-05 16:12:48.091296,175,76,11.1,8.345721825711797,13300,10636,0
124,2020-12-05 16:12:49.151305,215,76,12.299999999999999,8.347333204585789,16340,20390,0
125,2020-12-05 16:12:50.235494,573,120,11.9,8.341278326392604,68760,60134,0
126,2020-12-05 16:12:51.259416,725,181,14.700000000000001,8.342889705266597,131225,156315,0
127,2020-12-05 16:12:52.319598,783,170,16.0,8.342889705266597,133110,127468,0
128,2020-12-05 16:12:53.403580,919,305,11.899999999999999,8.34579507020607,280295,275948,0
129,2020-12-05 16:12:54.459197,489,104,13.2,8.341156252235484,50856,49992,0
130,2020-12-05 16:12:55.519585,906,234,15.1,8.342694386615204,212004,245963,0
131,2020-12-05 16:12:56.603279,728,186,10.100000000000001,8.344305765489198,135408,128675,0
132,2020-12-05 16:12:57.659535,662,158,15.2,8.34591714436319,104596,87106,0
133,2020-12-05 16:12:58.715407,580,138,15.0,8.343378001895081,80040,72329,0
134,2020-12-05 16:12:59.771203,300,117,11.3,8.343378001895081,35100,28712,0
135,2020-12-05 16:13:00.795180,542,111,13.8,8.344964965937649,60162,85253,0
136,2020-12-05 16:13:01.819248,703,165,13.8,8.346576344811641,115995,112813,0
137,2020-12-05 16:13:02.875226,658,129,17.0,8.341937526841056,84882,80777,0
138,2020-12-05 16:13:03.931302,535,116,13.2,8.34354890571505,62060,41405,0
139,2020-12-05 16:13:04.987250,321,87,10.3,8.346551929980217,27927,26739,0
140,2020-12-05 16:13:06.011261,289,83,10.8,8.34816330885421,23987,49628,0
141,2020-12-05 16:13:07.068075,1021,388,12.299999999999999,8.343524490883624,396148,375802,0
142,2020-12-05 16:13:08.091319,631,140,12.8,8.345135869757618,88340,111450,0
143,2020-12-05 16:13:09.147786,756,152,12.3,8.34674724863161,114912,136040,0
144,2020-12-05 16:13:10.171267,743,169,15.7,8.34674724863161,125567,103552,0
145,2020-12-05 16:13:11.199297,539,113,19.5,8.342108430661025,60907,45312,0
146,2020-12-05 16:13:12.283562,239,95,13.8,8.343719809535019,22705,17718,0
147,2020-12-05 16:13:13.371515,294,90,9.1,8.345331188409011,26460,26937,0
148,2020-12-05 16:13:14.395242,578,115,11.8,8.347479693574334,66470,148132,0
149,2020-12-05 16:13:15.551284,1072,570,10.5,8.342816460772324,611040,533059,0
150,2020-12-05 16:13:16.639323,123,75,6.4,8.342816460772324,9225,8755,0
151,2020-12-05 16:13:17.723322,214,71,11.0,8.344427839646317,15194,54451,0
152,2020-12-05 16:13:18.747398,546,108,12.8,8.34603921852031,58968,25454,0
153,2020-12-05 16:13:19.835252,330,83,15.6,8.346478685485945,27390,23797,0
154,2020-12-05 16:13:20.859302,246,75,11.8,8.341839867515358,18450,28364,0
155,2020-12-05 16:13:21.883255,409,93,11.8,8.343451246389352,38037,44766,0
156,2020-12-05 16:13:22.895241,999,338,15.9,8.345062625263344,337662,337120,0
157,2020-12-05 16:13:23.919526,608,122,15.8,8.346674004137336,74176,82060,0
158,2020-12-05 16:13:24.955352,648,127,13.5,8.343646565040745,82296,70718,0
159,2020-12-05 16:13:25.983312,426,99,12.700000000000001,8.345257943914737,42174,43792,0
160,2020-12-05 16:13:27.067340,743,191,16.5,8.345257943914737,141913,158214,0
161,2020-12-05 16:13:28.127291,711,152,14.100000000000001,8.340619125944151,108072,108070,0
162,2020-12-05 16:13:29.179275,594,124,13.4,8.342230504818145,73656,66061,0
163,2020-12-05 16:13:30.207269,670,135,12.700000000000001,8.34049705178703,90450,116361,0
164,2020-12-05 16:13:31.291307,686,155,16.5,8.342108430661023,106330,84950,0
