,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit
0,2020-11-28 17:29:11.335985,263,45,0,2.28439486479424,11835,39206,0
1,2020-11-28 17:29:12.362348,175,79,8.8,2.28439486479424,13825,15296,0
2,2020-11-28 17:29:13.450836,346,118,10.1,2.28439486479424,40828,76436,0
3,2020-11-28 17:29:14.501592,908,245,14.3,2.28439486479424,222460,229110,0
4,2020-11-28 17:29:15.558477,853,191,17,2.28439486479424,162923,166106,0
5,2020-11-28 17:29:16.582809,851,186,16.6,2.28439486479424,158286,164991,0
6,2020-11-28 17:29:17.637600,846,185,13.3,2.28439486479424,156510,141473,0
7,2020-11-28 17:29:18.694161,567,164,11.4,2.28439486479424,92988,82109,0
8,2020-11-28 17:29:19.717777,259,95,8.8,2.28439486479424,24605,17352,0
9,2020-11-28 17:29:20.742253,164,91,9.8,2.28439486479424,14924,15939,0
10,2020-11-28 17:29:21.767006,495,134,11.7,2.28439486479424,66330,117429,0
11,2020-11-28 17:29:22.854407,836,202,16.5,2.28439486479424,168872,162930,0
12,2020-11-28 17:29:23.910626,861,196,16.1,2.28439486479424,168756,170933,0
13,2020-11-28 17:29:24.934512,765,194,13.7,2.28439486479424,148410,144628,0
14,2020-11-28 17:29:25.994541,869,185,13.2,2.28439486479424,160765,169333,0
15,2020-11-28 17:29:27.081673,806,198,17.5,2.28439486479424,159588,166506,0
16,2020-11-28 17:29:28.138349,808,200,17,2.28444370639361,161600,158837,0
17,2020-11-28 17:29:29.258184,794,210,13.4,2.28444370639361,166740,183424,0
18,2020-11-28 17:29:30.377491,802,193,12.5,2.28444370639361,154786,129939,0
19,2020-11-28 17:29:31.434507,495,164,11.4,2.28444370639361,81180,90078,0
20,2020-11-28 17:29:32.522601,817,214,13.8,2.28444370639361,174838,190965,0
21,2020-11-28 17:29:33.605592,843,205,12.9,2.28444370639361,172815,149494,0
22,2020-11-28 17:29:34.667231,518,155,10.4,2.28444370639361,80290,76529,0
23,2020-11-28 17:29:35.717353,239,89,9.5,2.28444370639361,21271,23010,0
24,2020-11-28 17:29:36.778356,229,94,8.5,2.28444370639361,21526,30249,0
25,2020-11-28 17:29:37.830376,703,183,13.3,2.28444370639361,128649,189194,0
26,2020-11-28 17:29:38.885922,892,211,11.4,2.28444370639361,188212,161297,0
27,2020-11-28 17:29:39.946565,828,210,15.1,2.28444370639361,173880,182208,0
28,2020-11-28 17:29:41.033475,894,195,12.9,2.28444370639361,174330,172974,0
29,2020-11-28 17:29:42.118589,855,202,15.7,2.28444370639361,172710,183849,0
30,2020-11-28 17:29:43.142379,859,186,16.6,2.28444370639361,159774,170850,0
31,2020-11-28 17:29:44.198316,832,192,13.3,2.28444370639361,159744,160252,0
