,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit,cpu_limit
0,2020-12-01 12:16:32.111119,693,185,0.0,0.5299971605551054,128205,206540,0,0
1,2020-12-01 12:16:33.114744,600,316,13.0,0.5299971605551054,189600,202277,0,0
2,2020-12-01 12:16:34.139107,568,371,14.6,0.5299971605551054,210728,208025,0,0
3,2020-12-01 12:16:35.226900,571,382,12.0,0.5299971605551054,218122,224630,0,0
4,2020-12-01 12:16:36.250932,544,400,13.7,0.5299971605551054,217600,208628,0,0
5,2020-12-01 12:16:37.275187,599,352,13.7,0.5299971605551054,210848,208393,0,0
6,2020-12-01 12:16:38.331387,440,504,12.3,0.5299971605551054,221760,232481,0,0
7,2020-12-01 12:16:39.354823,409,534,13.7,0.5299971605551054,218406,215926,0,0
8,2020-12-01 12:16:40.382981,431,505,11.7,0.5299971605551054,217655,215765,0,0
9,2020-12-01 12:16:41.434678,432,509,12.4,0.5299971605551054,219888,218779,0,0
10,2020-12-01 12:16:42.459021,489,438,13.7,0.5299971605551054,214182,212997,0,0
11,2020-12-01 12:16:43.519049,557,273,12.3,0.5299971605551054,152061,121212,0,0
12,2020-12-01 12:16:44.634729,472,211,11.7,0.5299971605551054,99592,101178,0,0
13,2020-12-01 12:16:45.691208,477,201,12.3,0.5299971605551054,95877,95842,0,0
14,2020-12-01 12:16:46.715026,452,200,11.7,0.5299971605551054,90400,92457,0,0
15,2020-12-01 12:16:47.739028,461,199,11.7,0.5299971605551054,91739,91295,0,0
16,2020-12-01 12:16:48.798757,336,149,10.4,0.5299971605551054,50064,35396,0,0
17,2020-12-01 12:16:49.851012,219,116,12.4,0.5299971605551054,25404,24175,0,0
18,2020-12-01 12:16:50.875354,495,151,10.7,0.5299971605551054,74745,107131,0,0
19,2020-12-01 12:16:51.903153,580,262,12.6,0.5299971605551054,151960,149337,0,0
20,2020-12-01 12:16:52.986883,503,328,11.1,0.5299971605551054,164984,160428,0,0
21,2020-12-01 12:16:54.044470,468,333,14.2,0.5299971605551054,155844,156626,0,0
22,2020-12-01 12:16:55.099056,435,378,12.3,0.5299971605551054,164430,173558,0,0
23,2020-12-01 12:16:56.126853,405,388,12.6,0.5299971605551054,157140,164954,0,0
24,2020-12-01 12:16:57.178875,396,416,12.4,0.5299971605551054,164736,160148,0,0
25,2020-12-01 12:16:58.238734,310,441,13.2,0.5299971605551054,136710,109585,0,0
26,2020-12-01 12:16:59.294721,312,142,12.3,0.5299971605551054,44304,48564,0,0
27,2020-12-01 12:17:00.346775,398,190,11.4,0.5299971605551054,75620,93146,0,0
28,2020-12-01 12:17:01.370830,361,339,12.7,0.5299971605551054,122379,124617,0,0
29,2020-12-01 12:17:02.431035,359,325,12.3,0.5299971605551054,116675,119144,0,0
30,2020-12-01 12:17:03.515744,418,379,12.9,0.5299971605551054,158422,163594,0,0
31,2020-12-01 12:17:04.570738,405,409,12.3,0.5299971605551054,165645,164795,0,0
32,2020-12-01 12:17:05.658986,405,404,11.9,0.5299971605551054,163620,171736,0,0
33,2020-12-01 12:17:06.683325,377,434,12.7,0.5299971605551054,163618,159720,0,0
34,2020-12-01 12:17:07.743033,369,380,13.2,0.5299971605551054,140220,120941,0,0
35,2020-12-01 12:17:08.795100,325,183,12.4,0.5299971605551054,59475,90567,0,0
36,2020-12-01 12:17:09.914766,354,382,9.8,0.5299971605551054,135228,177576,0,0
37,2020-12-01 12:17:10.970728,380,358,13.3,0.5299971605551054,136040,135183,0,0
38,2020-12-01 12:17:12.062526,533,297,10.1,0.5299971605551054,158301,166812,0,0
39,2020-12-01 12:17:13.146877,631,241,12.0,0.5299971605551054,152071,130465,0,0
40,2020-12-01 12:17:14.239016,436,167,11.9,0.5312423169577362,72812,75568,0,0
41,2020-12-01 12:17:15.290917,457,164,10.5,0.5312423169577362,74948,72619,0,0
42,2020-12-01 12:17:16.350883,422,170,11.3,0.5312423169577362,71740,113560,0,0
43,2020-12-01 12:17:17.435170,474,157,9.2,0.5312423169577362,74418,82358,0,0
44,2020-12-01 12:17:18.490892,396,153,10.4,0.5312423169577362,60588,51854,0,0
45,2020-12-01 12:17:19.515141,471,161,9.8,0.5312423169577362,75831,102802,0,0
46,2020-12-01 12:17:20.570747,420,243,11.4,0.5312423169577362,102060,181982,0,0
47,2020-12-01 12:17:21.594869,375,288,10.7,0.5312423169577362,108000,142501,0,0
48,2020-12-01 12:17:22.654813,370,282,11.3,0.5312423169577362,104340,120080,0,0
49,2020-12-01 12:17:23.738825,376,300,10.1,0.5319747619004602,112800,119893,0,0
50,2020-12-01 12:17:24.762844,349,309,10.7,0.5319747619004602,107841,106349,0,0
51,2020-12-01 12:17:25.819045,344,314,10.4,0.5319747619004602,108016,108679,0,0
52,2020-12-01 12:17:26.842869,355,301,10.7,0.5319747619004602,106855,110349,0,0
53,2020-12-01 12:17:27.898760,388,269,9.5,0.5319747619004602,104372,123644,0,0
54,2020-12-01 12:17:28.923134,413,252,11.7,0.5319747619004602,104076,117449,0,0
55,2020-12-01 12:17:29.982771,413,254,10.4,0.5319747619004602,104902,107092,0,0
56,2020-12-01 12:17:31.035029,414,256,11.4,0.5345627340314184,105984,112860,0,0
57,2020-12-01 12:17:32.058820,405,253,9.8,0.5345627340314184,102465,105025,0,0
58,2020-12-01 12:17:33.114875,397,175,10.4,0.5460377048007616,69475,61375,500000,0
59,2020-12-01 12:17:34.138865,393,133,9.8,0.5832947375539904,52269,65631,500000,0
60,2020-12-01 12:17:35.162822,444,143,9.8,0.6138132768341581,63492,71462,500000,0
61,2020-12-01 12:17:36.186748,338,151,10.7,0.6138132768341581,51038,50706,500000,0
62,2020-12-01 12:17:37.243262,473,118,9.5,0.6138132768341581,55814,63296,500000,0
63,2020-12-01 12:17:38.298858,460,127,11.4,0.6138132768341581,58420,58549,500000,0
64,2020-12-01 12:17:39.322862,460,126,9.8,0.6138132768341581,57960,59129,500000,0
65,2020-12-01 12:17:40.346845,411,131,9.8,0.6138132768341581,53841,52450,500000,0
66,2020-12-01 12:17:41.406750,498,166,10.4,0.6138132768341581,82668,96362,500000,0
67,2020-12-01 12:17:42.458822,444,170,10.5,0.6138132768341581,75480,68940,500000,0
68,2020-12-01 12:17:43.482900,481,157,10.7,0.6138132768341581,75517,74627,500000,0
69,2020-12-01 12:17:44.511031,464,183,10.7,0.6138376916655822,84912,87008,500000,0
70,2020-12-01 12:17:45.594997,445,217,9.2,0.6138376916655822,96565,98443,500000,0
71,2020-12-01 12:17:46.622946,405,228,9.7,0.6138376916655822,92340,88473,500000,0
72,2020-12-01 12:17:47.707455,419,230,9.2,0.6138376916655822,96370,95505,500000,0
73,2020-12-01 12:17:48.731111,405,253,11.7,0.6138376916655822,102465,97957,500000,0
74,2020-12-01 12:17:49.754608,491,204,9.8,0.6138376916655822,100164,100823,500000,0
75,2020-12-01 12:17:50.810856,599,148,11.4,0.6138376916655822,88652,81611,500000,0
76,2020-12-01 12:17:51.866809,554,118,12.3,0.6138376916655822,65372,63978,500000,0
77,2020-12-01 12:17:52.926827,558,112,11.3,0.6138376916655822,62496,63210,500000,0
78,2020-12-01 12:17:53.951008,586,104,9.8,0.6138376916655822,60944,63203,500000,0
79,2020-12-01 12:17:55.035178,500,135,10.1,0.6138376916655822,67500,67193,500000,0
80,2020-12-01 12:17:56.126913,343,103,11.9,0.6138376916655822,35329,24947,500000,0
81,2020-12-01 12:17:57.210746,201,93,10.1,0.6138376916655822,18693,18801,500000,0
82,2020-12-01 12:17:58.234829,200,88,11.7,0.6138376916655822,17600,16378,500000,0
83,2020-12-01 12:17:59.262733,170,94,10.7,0.6138376916655822,15980,16274,500000,0
84,2020-12-01 12:18:00.350778,334,102,11.0,0.6138376916655822,34068,35826,500000,0
85,2020-12-01 12:18:01.370786,181,84,10.8,0.6138376916655822,15204,15090,500000,0
86,2020-12-01 12:18:02.394787,214,83,9.8,0.6138376916655822,17762,18528,500000,0
87,2020-12-01 12:18:03.418772,183,95,10.7,0.6138376916655822,17385,16354,500000,0
88,2020-12-01 12:18:04.478779,181,85,10.4,0.6138376916655822,15385,15107,500000,0
89,2020-12-01 12:18:05.530769,189,79,10.5,0.6138376916655822,14931,16286,500000,0
90,2020-12-01 12:18:06.555034,340,105,11.7,0.6138376916655822,35700,48171,500000,0
91,2020-12-01 12:18:07.578869,504,125,9.8,0.6138376916655822,63000,67053,500000,0
92,2020-12-01 12:18:08.602786,473,139,9.8,0.6138376916655822,65747,65539,500000,0
93,2020-12-01 12:18:09.658994,489,146,9.5,0.6138376916655822,71394,71768,500000,0
94,2020-12-01 12:18:10.715429,498,138,9.5,0.6138376916655822,68724,68859,500000,0
95,2020-12-01 12:18:11.738821,459,134,10.7,0.6138376916655822,61506,59341,500000,0
96,2020-12-01 12:18:12.763022,489,121,9.8,0.6138376916655822,59169,63024,500000,0
97,2020-12-01 12:18:13.786973,510,122,10.7,0.6138376916655822,62220,61655,500000,0
98,2020-12-01 12:18:14.810305,549,119,11.7,0.6138376916655822,65331,65456,500000,0
99,2020-12-01 12:18:15.835107,556,114,8.8,0.6138376916655822,63384,66538,500000,0
100,2020-12-01 12:18:16.890976,517,133,12.3,0.6138376916655822,68761,70498,500000,0
101,2020-12-01 12:18:17.914751,498,141,9.8,0.6138376916655822,70218,72038,500000,0
102,2020-12-01 12:18:18.938836,547,144,9.8,0.6138376916655822,78768,79851,500000,0
103,2020-12-01 12:18:19.999055,507,164,12.3,0.6138376916655822,83148,81397,500000,0
104,2020-12-01 12:18:21.051123,484,170,11.4,0.6138376916655822,82280,81649,500000,0
105,2020-12-01 12:18:22.074747,457,172,12.7,0.6138376916655822,78604,79805,500000,0
106,2020-12-01 12:18:23.102936,468,172,11.7,0.6138376916655822,80496,78916,500000,0
107,2020-12-01 12:18:24.218889,420,206,10.8,0.6138376916655822,86520,87457,500000,0
108,2020-12-01 12:18:25.242927,422,198,11.7,0.6138376916655822,83556,79929,500000,0
109,2020-12-01 12:18:26.266744,473,156,10.7,0.6138376916655822,73788,71264,500000,0
110,2020-12-01 12:18:27.291120,475,125,11.7,0.6138376916655822,59375,59545,500000,0
111,2020-12-01 12:18:28.314785,483,125,12.7,0.6138376916655822,60375,61338,500000,0
112,2020-12-01 12:18:29.338878,471,128,10.7,0.6138376916655822,60288,62320,500000,0
113,2020-12-01 12:18:30.363129,462,132,10.7,0.6138376916655822,60984,61556,500000,0
114,2020-12-01 12:18:31.418905,476,134,12.3,0.6138376916655822,63784,61608,500000,0
115,2020-12-01 12:18:32.475512,378,131,9.5,0.6138376916655822,49518,47672,500000,0
116,2020-12-01 12:18:33.498736,250,93,11.7,0.6138376916655822,23250,17370,450000,0
117,2020-12-01 12:18:34.523152,376,85,11.7,0.6138376916655822,31960,45490,450000,0
118,2020-12-01 12:18:35.578925,425,168,10.4,0.6138376916655822,71400,68199,450000,0
119,2020-12-01 12:18:36.634924,307,133,12.3,0.6138376916655822,40831,41026,450000,0
120,2020-12-01 12:18:37.726882,425,124,11.0,0.6138376916655822,52700,53739,450000,0
121,2020-12-01 12:18:38.778786,240,96,9.5,0.6138376916655822,23040,13785,450000,0
122,2020-12-01 12:18:39.834813,143,86,10.4,0.6138376916655822,12298,12801,450000,0
123,2020-12-01 12:18:40.858797,193,80,10.7,0.6138376916655822,15440,15680,450000,0
124,2020-12-01 12:18:41.882767,228,90,10.7,0.6138376916655822,20520,27537,450000,0
125,2020-12-01 12:18:42.939111,265,95,10.4,0.6138376916655822,25175,25029,450000,0
126,2020-12-01 12:18:43.962751,359,123,10.7,0.6138376916655822,44157,40846,450000,0
127,2020-12-01 12:18:44.990882,430,122,12.6,0.6138376916655822,52460,54284,450000,0
128,2020-12-01 12:18:46.043193,212,87,10.5,0.6138376916655822,18444,15412,450000,0
129,2020-12-01 12:18:47.071225,199,87,11.7,0.6138376916655822,17313,18504,450000,0
130,2020-12-01 12:18:48.158842,199,87,10.1,0.6138376916655822,17313,15442,450000,0
131,2020-12-01 12:18:49.210796,161,86,9.5,0.6138376916655822,13846,13786,450000,0
132,2020-12-01 12:18:50.234809,424,99,10.7,0.6138376916655822,41976,44210,450000,0
133,2020-12-01 12:18:51.259169,383,95,10.7,0.6138376916655822,36385,49048,450000,0
134,2020-12-01 12:18:52.314840,460,155,10.4,0.6138376916655822,71300,74141,450000,0
135,2020-12-01 12:18:53.338852,432,166,10.7,0.6138376916655822,71712,69639,450000,0
136,2020-12-01 12:18:54.362815,434,164,10.7,0.6138376916655822,71176,71062,450000,0
137,2020-12-01 12:18:55.386762,403,182,9.8,0.6138376916655822,73346,70673,450000,0
138,2020-12-01 12:18:56.411275,498,142,9.8,0.6138376916655822,70716,71054,450000,0
139,2020-12-01 12:18:57.470792,472,150,11.3,0.6138376916655822,70800,72230,450000,0
140,2020-12-01 12:18:58.490985,490,131,8.8,0.6138376916655822,64190,54363,450000,0
141,2020-12-01 12:18:59.514866,440,93,10.7,0.6138376916655822,40920,41923,450000,0
142,2020-12-01 12:19:00.539556,456,95,9.8,0.6138376916655822,43320,41732,450000,0
143,2020-12-01 12:19:01.595109,464,90,11.4,0.6138376916655822,41760,43710,450000,0
144,2020-12-01 12:19:02.618836,398,107,10.7,0.6138376916655822,42586,43347,450000,0
145,2020-12-01 12:19:03.678980,447,99,12.3,0.6138376916655822,44253,39138,450000,0
146,2020-12-01 12:19:04.730794,188,77,8.6,0.6138376916655822,14476,13402,450000,0
147,2020-12-01 12:19:05.790750,251,90,12.3,0.6138376916655822,22590,30468,450000,0
148,2020-12-01 12:19:06.842784,417,128,9.5,0.6138376916655822,53376,59772,450000,0
149,2020-12-01 12:19:07.867435,530,119,11.7,0.6138376916655822,63070,63438,450000,0
150,2020-12-01 12:19:08.891084,436,142,10.7,0.6138376916655822,61912,62350,450000,0
151,2020-12-01 12:19:09.915379,441,134,10.7,0.6138376916655822,59094,58374,450000,0
152,2020-12-01 12:19:10.938863,438,116,9.8,0.6138376916655822,50808,53142,450000,0
153,2020-12-01 12:19:11.962898,408,130,10.7,0.6138376916655822,53040,42222,450000,0
154,2020-12-01 12:19:12.986781,174,87,10.7,0.6138376916655822,15138,15849,450000,0
155,2020-12-01 12:19:14.010827,227,78,11.7,0.6138376916655822,17706,24522,450000,0
156,2020-12-01 12:19:15.034762,453,120,10.7,0.6138376916655822,54360,59944,450000,0
157,2020-12-01 12:19:16.058862,520,107,11.7,0.6138376916655822,55640,55876,450000,0
158,2020-12-01 12:19:17.114874,459,133,13.3,0.614350403125489,61047,59260,450000,0
159,2020-12-01 12:19:18.139004,428,118,12.7,0.614350403125489,50504,51231,450000,0
160,2020-12-01 12:19:19.162737,398,111,11.7,0.614350403125489,44178,45844,450000,0
161,2020-12-01 12:19:20.186739,334,95,11.7,0.614350403125489,31730,24111,450000,0
162,2020-12-01 12:19:21.242676,222,79,11.4,0.614350403125489,17538,17185,450000,0
163,2020-12-01 12:19:22.267370,328,82,11.7,0.614350403125489,26896,38373,450000,0
164,2020-12-01 12:19:23.290809,496,113,11.7,0.614350403125489,56048,57822,450000,0
165,2020-12-01 12:19:24.314808,521,115,11.7,0.614350403125489,59915,59930,450000,0
166,2020-12-01 12:19:25.338804,518,118,11.7,0.614350403125489,61124,62822,450000,0
167,2020-12-01 12:19:26.363043,488,127,11.7,0.614350403125489,61976,62810,450000,0
168,2020-12-01 12:19:27.387025,489,125,11.7,0.614350403125489,61125,60327,450000,0
169,2020-12-01 12:19:28.442884,441,139,14.2,0.614350403125489,61299,62568,450000,0
170,2020-12-01 12:19:29.499009,490,126,13.3,0.614350403125489,61740,61290,450000,0
171,2020-12-01 12:19:30.522918,489,121,10.7,0.614350403125489,59169,59028,450000,0
172,2020-12-01 12:19:31.578925,441,111,11.4,0.614350403125489,48951,51705,450000,0
173,2020-12-01 12:19:32.602803,367,115,13.7,0.614350403125489,42205,44002,450000,0
174,2020-12-01 12:19:33.662784,529,121,12.3,0.614350403125489,64009,64944,400000,0
175,2020-12-01 12:19:34.714856,470,136,10.5,0.614350403125489,63920,63663,400000,0
176,2020-12-01 12:19:35.770790,456,142,14.2,0.6158152930109372,64752,62273,400000,0
177,2020-12-01 12:19:36.794761,253,124,11.7,0.6264845743432838,31372,22847,400000,0
178,2020-12-01 12:19:37.850999,226,95,11.4,0.6265822336689802,21470,28512,400000,0
179,2020-12-01 12:19:38.874784,494,107,11.7,0.6265822336689802,52858,57327,400000,0
180,2020-12-01 12:19:39.898826,402,161,10.7,0.6266554781632526,64722,63878,400000,0
181,2020-12-01 12:19:40.954917,370,174,13.3,0.6266554781632526,64380,65223,400000,0
182,2020-12-01 12:19:41.978856,473,132,12.7,0.6266554781632526,62436,61095,400000,0
183,2020-12-01 12:19:43.002872,489,130,11.7,0.6266554781632526,63570,62892,400000,0
184,2020-12-01 12:19:44.026817,405,155,11.7,0.6266554781632526,62775,62414,400000,0
185,2020-12-01 12:19:45.086864,406,157,12.3,0.6266554781632526,63742,64514,400000,0
