,time,avg_packet_len,packet_count,cpu_usage,mem_usage
0,2020-11-26 23:59:03.016893,309,1,0.0,4.888703770211513
1,2020-11-26 23:59:04.206594,245,82,5.0,4.888703770211513
2,2020-11-26 23:59:05.235287,211,63,6.8,4.888703770211513
3,2020-11-26 23:59:06.255899,200,63,5.9,4.888703770211513
4,2020-11-26 23:59:07.280725,223,56,4.9,4.888703770211513
5,2020-11-26 23:59:08.307191,190,60,4.9,4.888703770211513
6,2020-11-26 23:59:09.326371,192,62,5.9,4.888703770211513
7,2020-11-26 23:59:10.351558,230,58,4.9,4.888703770211513
8,2020-11-26 23:59:11.379875,236,59,4.9,4.888703770211513
9,2020-11-26 23:59:12.434995,213,61,5.7,4.888703770211513
10,2020-11-26 23:59:13.527646,205,70,6.4,4.888703770211513
11,2020-11-26 23:59:14.606562,202,59,6.5,4.888703770211513
12,2020-11-26 23:59:15.662349,256,70,4.7,4.888703770211513
13,2020-11-26 23:59:16.718307,259,67,5.7,4.888703770211513
14,2020-11-26 23:59:17.779729,220,62,4.7,4.888703770211513
15,2020-11-26 23:59:18.834591,321,61,5.7,4.888703770211513
16,2020-11-26 23:59:19.918377,323,61,5.5,4.888703770211513
17,2020-11-26 23:59:20.982816,275,66,5.6,4.888703770211513
18,2020-11-26 23:59:22.035299,226,58,6.7,4.888703770211513
19,2020-11-26 23:59:23.061800,233,59,4.9,4.888703770211513
20,2020-11-26 23:59:24.123301,219,62,4.7,4.888703770211513
21,2020-11-26 23:59:25.171852,202,59,5.7,4.888703770211513
22,2020-11-26 23:59:26.254658,231,67,5.5,4.888703770211513
23,2020-11-26 23:59:27.278369,203,61,4.9,4.888703770211513
24,2020-11-26 23:59:28.306766,211,58,5.8,4.888703770211513
25,2020-11-26 23:59:29.358855,273,71,6.7,4.888703770211513
26,2020-11-26 23:59:30.414579,340,70,6.6,4.888703770211513
27,2020-11-26 23:59:31.470631,347,64,4.7,4.888703770211513
28,2020-11-26 23:59:32.504432,249,69,5.8,4.888703770211513
29,2020-11-26 23:59:33.586427,341,70,5.5,4.888703770211513
30,2020-11-26 23:59:34.638174,219,68,5.7,4.888703770211513
31,2020-11-26 23:59:35.726292,277,63,5.5,4.888703770211513
32,2020-11-26 23:59:36.787624,308,67,6.6,4.888703770211513
33,2020-11-26 23:59:37.842480,294,70,5.7,4.888703770211513
34,2020-11-26 23:59:38.899895,360,64,5.7,4.888703770211513
35,2020-11-26 23:59:39.955820,352,64,4.7,4.888703770211513
36,2020-11-26 23:59:41.042447,210,65,4.6,4.888703770211513
37,2020-11-26 23:59:42.097737,236,80,6.6,4.888703770211513
38,2020-11-26 23:59:43.208474,233,61,5.4,4.888703770211513
39,2020-11-26 23:59:44.307437,268,67,6.4,4.888703770211513
40,2020-11-26 23:59:45.426477,221,69,5.4,4.888703770211513
41,2020-11-26 23:59:46.515358,227,72,4.6,4.888703770211513
42,2020-11-26 23:59:47.566587,236,66,5.7,4.888703770211513
43,2020-11-26 23:59:48.661451,264,68,4.6,4.888703770211513
44,2020-11-26 23:59:49.719182,274,64,6.6,4.888703770211513
45,2020-11-26 23:59:50.803824,220,71,6.5,4.888703770211513
46,2020-11-26 23:59:51.827676,258,64,4.9,4.888703770211513
47,2020-11-26 23:59:52.850847,228,66,4.9,4.888703770211513
48,2020-11-26 23:59:53.939466,239,86,6.4,4.888703770211513
49,2020-11-26 23:59:54.990646,272,94,5.7,4.888703770211513
50,2020-11-26 23:59:56.046329,226,75,5.7,4.888703770211513
51,2020-11-26 23:59:57.138369,242,75,4.6,4.888703770211513
52,2020-11-26 23:59:58.226622,253,69,6.4,4.888703770211513
53,2020-11-26 23:59:59.344891,246,65,5.4,4.888703770211513
54,2020-11-27 00:00:00.373478,206,64,8.7,4.892243920768013
55,2020-11-27 00:00:01.391297,355,65,5.9,4.8926101432393745
56,2020-11-27 00:00:02.451335,201,67,4.7,4.8926101432393745
57,2020-11-27 00:00:03.470489,387,60,5.9,4.8926101432393745
58,2020-11-27 00:00:04.499787,224,69,5.8,4.8926101432393745
59,2020-11-27 00:00:05.550550,286,56,5.7,4.8926101432393745
60,2020-11-27 00:00:06.673595,247,70,7.1,4.8926101432393745
61,2020-11-27 00:00:07.700692,350,68,5.8,4.8926101432393745
62,2020-11-27 00:00:08.754992,366,66,4.7,4.8926101432393745
63,2020-11-27 00:00:09.783805,373,61,5.8,4.8926101432393745
64,2020-11-27 00:00:10.835113,376,59,4.8,4.8926101432393745
65,2020-11-27 00:00:11.922586,369,64,6.4,4.8926101432393745
66,2020-11-27 00:00:12.979612,353,65,5.7,4.8926101432393745
67,2020-11-27 00:00:14.007198,376,60,6.8,4.8926101432393745
68,2020-11-27 00:00:15.062151,379,60,5.7,4.8926101432393745
69,2020-11-27 00:00:16.142683,366,65,5.6,4.8926101432393745
70,2020-11-27 00:00:17.234665,376,67,5.5,4.8926101432393745
71,2020-11-27 00:00:18.289343,390,58,4.7,4.8926101432393745
72,2020-11-27 00:00:19.342470,374,69,6.6,4.8926101432393745
73,2020-11-27 00:00:20.403039,357,68,5.7,4.8926101432393745
74,2020-11-27 00:00:21.422299,386,66,5.9,4.8926101432393745
75,2020-11-27 00:00:22.510757,311,65,6.4,4.8926101432393745
