,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit,cpu_limit
0,2020-12-01 14:09:58.111308,414,55,0.0,1.1043316549764384,22770,45968,0,0
1,2020-12-01 14:09:59.199422,452,122,0.9,1.1043316549764384,55144,75113,0,0
2,2020-12-01 14:10:00.251099,842,215,1.9,1.1043316549764384,181030,168010,0,0
3,2020-12-01 14:10:01.275062,569,125,2.0,1.1043316549764384,71125,125593,0,0
4,2020-12-01 14:10:02.299136,808,198,2.0,1.1043316549764384,159984,127577,0,0
5,2020-12-01 14:10:03.323331,717,155,2.0,1.1043316549764384,111135,108646,0,0
6,2020-12-01 14:10:04.351109,552,124,1.0,1.1043316549764384,68448,61724,0,0
7,2020-12-01 14:10:05.371141,539,119,2.9,1.1043316549764384,64141,64627,0,0
8,2020-12-01 14:10:06.395158,372,104,8.8,1.1043316549764384,38688,24919,0,0
9,2020-12-01 14:10:07.419089,303,86,2.0,1.1043316549764384,26058,28075,0,0
10,2020-12-01 14:10:08.475105,342,100,1.9,1.1043316549764384,34200,42657,0,0
11,2020-12-01 14:10:09.531636,351,94,0.9,1.1043316549764384,32994,25886,0,0
12,2020-12-01 14:10:10.623265,253,93,2.7,1.1043316549764384,23529,23794,0,0
13,2020-12-01 14:10:11.707079,196,84,1.8,1.1043316549764384,16464,14537,0,0
14,2020-12-01 14:10:12.767152,289,88,1.9,1.1043316549764384,25432,28619,0,0
15,2020-12-01 14:10:13.819033,261,94,2.9,1.1043316549764384,24534,33790,0,0
16,2020-12-01 14:10:14.847246,255,72,1.9,1.1043316549764384,18360,18881,0,0
17,2020-12-01 14:10:15.871018,181,77,1.0,1.1043316549764384,13937,16680,0,0
18,2020-12-01 14:10:16.923266,237,74,1.9,1.1043316549764384,17538,43588,0,0
19,2020-12-01 14:10:17.947041,789,183,1.0,1.1043316549764384,144387,136806,0,0
20,2020-12-01 14:10:18.971993,665,129,2.0,1.1043316549764384,85785,90639,0,0
21,2020-12-01 14:10:19.995159,673,130,2.0,1.1043316549764384,87490,91429,0,0
22,2020-12-01 14:10:21.023105,694,139,1.0,1.1043316549764384,96466,111850,0,0
23,2020-12-01 14:10:22.075098,876,220,1.9,1.1043316549764384,192720,171526,0,0
24,2020-12-01 14:10:23.131096,576,119,0.9,1.1043316549764384,68544,67238,0,0
25,2020-12-01 14:10:24.155086,522,98,1.0,1.1043316549764384,51156,58549,0,0
26,2020-12-01 14:10:25.215084,686,144,2.8,1.1043316549764384,98784,106028,0,0
27,2020-12-01 14:10:26.271340,894,243,0.9,1.1043316549764384,217242,221819,0,0
28,2020-12-01 14:10:27.323072,669,148,1.0,1.1043316549764384,99012,92844,0,0
29,2020-12-01 14:10:28.379105,463,96,1.9,1.1043316549764384,44448,32208,0,0
30,2020-12-01 14:10:29.435000,586,118,1.9,1.1043316549764384,69148,115031,0,0
31,2020-12-01 14:10:30.459029,870,228,1.0,1.1043316549764384,198360,199135,0,0
32,2020-12-01 14:10:31.515073,760,160,1.9,1.1043316549764384,121600,92128,0,0
33,2020-12-01 14:10:32.539329,610,112,1.0,1.1043316549764384,68320,66977,0,0
34,2020-12-01 14:10:33.595108,682,136,0.9,1.1043316549764384,92752,87029,0,0
35,2020-12-01 14:10:34.619059,374,85,2.9,1.1043316549764384,31790,34084,0,0
36,2020-12-01 14:10:35.643042,605,116,1.0,1.1043316549764384,70180,69767,0,0
37,2020-12-01 14:10:36.699144,398,91,0.9,1.1043316549764384,36218,35514,0,0
38,2020-12-01 14:10:37.755335,847,197,2.8,1.1043316549764384,166859,216262,0,0
39,2020-12-01 14:10:38.815173,909,234,0.9,1.1043316549764384,212706,163504,0,0
40,2020-12-01 14:10:39.899037,632,124,1.8,1.1043316549764384,78368,87090,0,0
41,2020-12-01 14:10:40.923263,450,99,2.0,1.1043316549764384,44550,52082,0,0
42,2020-12-01 14:10:41.947020,820,188,1.0,1.1043316549764384,154160,165310,0,0
43,2020-12-01 14:10:42.971368,716,136,0.0,1.1043316549764384,97376,86520,0,0
44,2020-12-01 14:10:43.995071,271,78,2.0,1.1043316549764384,21138,11004,0,0
45,2020-12-01 14:10:45.019125,124,66,1.0,1.1043316549764384,8184,133499,0,0
46,2020-12-01 14:10:46.043051,829,191,2.0,1.1043316549764384,158339,43442,0,0
47,2020-12-01 14:10:47.099293,406,88,1.9,1.1043316549764384,35728,31758,0,0
48,2020-12-01 14:10:48.124037,356,84,1.0,1.1043316549764384,29904,37668,0,0
49,2020-12-01 14:10:49.179085,447,97,0.9,1.1043316549764384,43359,37261,0,0
50,2020-12-01 14:10:50.204081,244,72,2.0,1.1043316549764384,17568,17667,0,0
51,2020-12-01 14:10:51.227095,203,77,2.0,1.1043316549764384,15631,12885,0,0
