,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit,cpu_limit
0,2020-12-01 15:26:34.511678,96,27,0.0,0.8557886710787521,2592,14436,0,0
1,2020-12-01 15:26:35.551504,98,58,1.0,0.8557886710787521,5684,8081,0,0
2,2020-12-01 15:26:36.635079,96,59,0.0,0.8557886710787521,5664,11849,0,0
3,2020-12-01 15:26:37.659137,138,58,1.0,0.8557886710787521,8004,7291,0,0
4,2020-12-01 15:26:38.715023,133,65,0.9,0.8557886710787521,8645,10119,0,0
5,2020-12-01 15:26:39.739057,100,58,2.9,0.8557886710787521,5800,9251,0,0
6,2020-12-01 15:26:40.799141,97,57,0.9,0.8557886710787521,5529,8035,0,0
7,2020-12-01 15:26:41.851253,135,63,0.0,0.8557886710787521,8505,10106,0,0
8,2020-12-01 15:26:42.879073,133,58,1.0,0.8557886710787521,7714,9644,0,0
9,2020-12-01 15:26:43.963025,97,59,1.8,0.8557886710787521,5723,9778,0,0
10,2020-12-01 15:26:44.987183,138,60,0.0,0.8557886710787521,8280,8945,0,0
11,2020-12-01 15:26:46.011275,138,61,0.0,0.8557886710787521,8418,20102,0,0
12,2020-12-01 15:26:47.071014,97,61,0.9,0.8557886710787521,5917,8100,0,0
13,2020-12-01 15:26:48.123415,96,56,0.0,0.8557886710787521,5376,6913,0,0
14,2020-12-01 15:26:49.179063,133,62,0.0,0.8557886710787521,8246,7822,0,0
15,2020-12-01 15:26:50.203023,143,61,1.0,0.8557886710787521,8723,9448,0,0
16,2020-12-01 15:26:51.259137,97,60,0.0,0.8557886710787521,5820,7532,0,0
17,2020-12-01 15:26:52.315079,99,63,0.0,0.8557886710787521,6237,7623,0,0
18,2020-12-01 15:26:53.338965,141,59,0.0,0.8557886710787521,8319,9815,0,0
19,2020-12-01 15:26:54.363088,138,64,0.0,0.8557886710787521,8832,10885,0,0
20,2020-12-01 15:26:55.391068,100,61,1.0,0.8557886710787521,6100,8541,0,0
21,2020-12-01 15:26:56.443054,97,57,0.0,0.8557886710787521,5529,10349,0,0
22,2020-12-01 15:26:57.499307,135,60,0.0,0.8557886710787521,8100,8341,0,0
23,2020-12-01 15:26:58.559093,140,63,0.0,0.8557886710787521,8820,9941,0,0
24,2020-12-01 15:26:59.611060,103,57,0.0,0.8557886710787521,5871,9316,0,0
25,2020-12-01 15:27:00.735027,99,59,0.0,0.8557886710787521,5841,6970,0,0
