,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit
0,2020-12-08 17:34:29.457688,227,51,0.0,2.1947186903516167,11577,21540,0
1,2020-12-08 17:34:30.481518,224,76,3.9,2.1947186903516167,17024,15600,0
2,2020-12-08 17:34:31.505403,209,81,3.9,2.1947186903516167,16929,17284,0
3,2020-12-08 17:34:32.529506,246,69,2.9,2.1947186903516167,16974,17189,0
4,2020-12-08 17:34:33.553316,225,71,4.9,2.1947186903516167,15975,17582,0
5,2020-12-08 17:34:34.577407,227,75,2.9,2.1947186903516167,17025,16735,0
6,2020-12-08 17:34:35.601411,213,81,3.9,2.1947186903516167,17253,18732,0
7,2020-12-08 17:34:36.625475,227,79,3.9,2.1947186903516167,17933,15578,0
8,2020-12-08 17:34:37.649451,219,75,4.9,2.1947186903516167,16425,17878,0
9,2020-12-08 17:34:38.673696,209,82,3.9,2.1947186903516167,17138,14856,0
10,2020-12-08 17:34:39.709389,204,89,3.9,2.1947186903516167,18156,18223,0
11,2020-12-08 17:34:40.733399,258,59,2.9,2.1947186903516167,15222,15635,0
12,2020-12-08 17:34:41.757291,210,80,4.9,2.1947186903516167,16800,17763,0
13,2020-12-08 17:34:42.813462,220,85,2.8,2.1947186903516167,18700,16064,0
14,2020-12-08 17:34:43.837572,217,81,3.9,2.1947186903516167,17577,17429,0
15,2020-12-08 17:34:44.861521,224,76,3.9,2.1947186903516167,17024,16434,0
16,2020-12-08 17:34:45.885417,155,90,4.9,2.1947186903516167,13950,14267,0
17,2020-12-08 17:34:46.909475,214,81,3.9,2.1947186903516167,17334,16761,0
18,2020-12-08 17:34:47.933558,201,89,6.8,2.1947186903516167,17889,17181,0
19,2020-12-08 17:34:48.957537,252,65,2.9,2.1947186903516167,16380,18035,0
20,2020-12-08 17:34:49.981527,186,90,3.9,2.1947186903516167,16740,18591,0
21,2020-12-08 17:34:51.005526,179,125,4.9,2.1947186903516167,22375,17652,0
22,2020-12-08 17:34:52.033477,209,82,4.9,2.1947186903516167,17138,16278,0
23,2020-12-08 17:34:53.117439,254,64,6.5,2.1947186903516167,16256,17715,0
24,2020-12-08 17:34:54.141577,202,89,3.9,2.1947186903516167,17978,15659,0
25,2020-12-08 17:34:55.165498,249,68,3.9,2.1947186903516167,16932,17281,0
26,2020-12-08 17:34:56.189555,197,87,3.9,2.1947186903516167,17139,16430,0
27,2020-12-08 17:34:57.213460,263,63,3.9,2.1947186903516167,16569,16121,0
28,2020-12-08 17:34:58.237451,179,103,3.9,2.1947186903516167,18437,17312,0
29,2020-12-08 17:34:59.262231,242,63,4.9,2.1947186903516167,15246,13715,0
30,2020-12-08 17:35:00.285544,167,84,3.9,2.1947186903516167,14028,15526,0
31,2020-12-08 17:35:01.309485,231,77,4.9,2.1947186903516167,17787,18182,0
32,2020-12-08 17:35:02.365833,198,92,4.7,2.1947186903516167,18216,16912,0
33,2020-12-08 17:35:03.389410,236,66,6.8,2.1947186903516167,15576,13907,0
34,2020-12-08 17:35:04.413434,118,77,5.9,2.1947186903516167,9086,9000,0
35,2020-12-08 17:35:05.441455,134,78,5.8,2.1947186903516167,10452,10068,0
36,2020-12-08 17:35:06.493470,116,98,2.9,2.1947186903516167,11368,10212,0
37,2020-12-08 17:35:07.517436,126,72,6.8,2.1947186903516167,9072,9515,0
38,2020-12-08 17:35:08.541456,121,84,4.9,2.1947186903516167,10164,8618,0
39,2020-12-08 17:35:09.565421,126,71,4.9,2.1947186903516167,8946,9591,0
40,2020-12-08 17:35:10.589495,122,70,4.9,2.1947186903516167,8540,8024,0
41,2020-12-08 17:35:11.613490,127,69,5.9,2.1947186903516167,8763,9100,0
42,2020-12-08 17:35:12.637526,184,89,4.9,2.1947186903516167,16376,17048,0
43,2020-12-08 17:35:13.661473,210,88,6.8,2.1992598412355053,18480,17463,0
44,2020-12-08 17:35:14.685401,159,76,2.9,2.1992598412355053,12084,11842,0
45,2020-12-08 17:35:15.709368,201,84,4.9,2.1992598412355053,16884,14644,0
46,2020-12-08 17:35:16.733361,141,76,2.9,2.1992598412355053,10716,9365,0
47,2020-12-08 17:35:17.757382,125,78,4.9,2.1992598412355053,9750,10387,0
48,2020-12-08 17:35:18.781442,197,65,2.9,2.1992598412355053,12805,14833,0
49,2020-12-08 17:35:19.809467,195,94,5.8,2.1992598412355053,18330,17967,0
50,2020-12-08 17:35:20.861424,241,71,3.8,2.1992598412355053,17111,16880,0
51,2020-12-08 17:35:21.885448,213,80,5.9,2.20065148424831,17040,16909,0
52,2020-12-08 17:35:22.909511,225,76,3.9,2.20065148424831,17100,15786,0
53,2020-12-08 17:35:23.933518,210,84,5.9,2.200700313827707,17640,17307,0
54,2020-12-08 17:35:24.989532,242,70,4.7,2.200700313827707,16940,17414,0
55,2020-12-08 17:35:26.013435,212,82,3.9,2.200700313827707,17384,16783,0
56,2020-12-08 17:35:27.037430,208,84,4.9,2.200700313827707,17472,17035,0
57,2020-12-08 17:35:28.061415,217,77,2.9,2.200700313827707,16709,15941,0
58,2020-12-08 17:35:29.085502,223,75,4.9,2.200700313827707,16725,17630,0
59,2020-12-08 17:35:30.109438,195,96,4.9,2.200700313827707,18720,16900,0
60,2020-12-08 17:35:31.133469,221,78,3.9,2.200700313827707,17238,16577,0
61,2020-12-08 17:35:32.157371,215,84,3.9,2.2097582008057857,18060,18107,0
62,2020-12-08 17:35:33.181452,248,64,3.9,2.2097582008057857,15872,18406,0
63,2020-12-08 17:35:34.205430,195,104,8.8,2.2097582008057857,20280,20591,0
64,2020-12-08 17:35:35.229476,205,112,8.8,2.2097582008057857,22960,20549,0
65,2020-12-08 17:35:36.253446,199,93,4.9,2.2097582008057857,18507,17224,0
66,2020-12-08 17:35:37.277321,199,98,6.8,2.2097582008057857,19502,17925,0
67,2020-12-08 17:35:38.301486,126,83,4.9,2.2097582008057857,10458,12903,0
68,2020-12-08 17:35:39.325561,216,77,2.9,2.2097582008057857,16632,16790,0
69,2020-12-08 17:35:40.349363,210,87,5.9,2.2097582008057857,18270,17644,0
