,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit,cpu_limit
0,2020-12-01 20:51:29.926302,734,106,0.0,0.020630532553393408,77804,138685,0,0
1,2020-12-01 20:51:30.943141,698,183,0.0,0.020630532553393408,127734,142505,0,0
2,2020-12-01 20:51:32.027582,758,182,0.0,0.020630532553393408,137956,149850,0,0
3,2020-12-01 20:51:33.055196,750,185,0.0,0.020630532553393408,138750,139086,0,0
4,2020-12-01 20:51:34.143621,679,211,0.0,0.020630532553393408,143269,150477,0,0
5,2020-12-01 20:51:35.195294,712,196,0.0,0.020630532553393408,139552,136009,0,0
6,2020-12-01 20:51:36.251168,739,191,0.0,0.020630532553393408,141149,145778,0,0
7,2020-12-01 20:51:37.275297,736,206,0.0,0.020630532553393408,151616,163061,0,0
8,2020-12-01 20:51:38.299361,779,194,0.0,0.020630532553393408,151126,152776,0,0
9,2020-12-01 20:51:39.355372,748,209,0.0,0.020630532553393408,156332,164917,0,0
10,2020-12-01 20:51:40.415360,706,208,0.0,0.020630532553393408,146848,160548,0,0
11,2020-12-01 20:51:41.467683,663,233,0.0,0.020630532553393408,154479,154822,0,0
12,2020-12-01 20:51:42.555376,661,232,0.0,0.020630532553393408,153352,160005,0,0
13,2020-12-01 20:51:43.579746,731,197,0.0,0.020630532553393408,144007,144572,0,0
14,2020-12-01 20:51:44.603473,740,209,0.0,0.020630532553393408,154660,164175,0,0
15,2020-12-01 20:51:45.631697,824,188,0.0,0.020630532553393408,154912,153148,0,0
16,2020-12-01 20:51:46.715583,713,207,0.0,0.020630532553393408,147591,159143,0,0
17,2020-12-01 20:51:47.739406,791,185,0.0,0.020630532553393408,146335,142314,0,0
18,2020-12-01 20:51:48.795470,800,189,0.0,0.020630532553393408,151200,150766,0,0
19,2020-12-01 20:51:49.819278,746,191,0.0,0.020630532553393408,142486,150894,0,0
20,2020-12-01 20:51:50.875282,774,183,0.0,0.020630532553393408,141642,151428,0,0
21,2020-12-01 20:51:51.899209,782,187,0.0,0.020630532553393408,146234,144388,0,0
22,2020-12-01 20:51:52.927194,767,181,0.0,0.020630532553393408,138827,141749,0,0
23,2020-12-01 20:51:53.980328,701,224,0.0,0.020630532553393408,157024,157890,0,0
24,2020-12-01 20:51:55.039744,702,211,0.0,0.020630532553393408,148122,153226,0,0
25,2020-12-01 20:51:56.127294,748,200,0.0,0.020630532553393408,149600,162788,0,0
26,2020-12-01 20:51:57.179307,722,215,0.0,0.020630532553393408,155230,148316,0,0
27,2020-12-01 20:51:58.207382,786,192,0.0,0.020630532553393408,150912,162971,0,0
28,2020-12-01 20:51:59.263664,762,189,0.0,0.020630532553393408,144018,151365,0,0
29,2020-12-01 20:52:00.315465,740,213,0.0,0.020630532553393408,157620,156679,0,0
30,2020-12-01 20:52:01.371657,751,205,0.0,0.020630532553393408,153955,155408,0,0
31,2020-12-01 20:52:02.427379,758,200,0.0,0.020630532553393408,151600,159722,0,0
32,2020-12-01 20:52:03.455174,785,197,0.0,0.020630532553393408,154645,156393,0,0
33,2020-12-01 20:52:04.507178,708,208,0.0,0.020630532553393408,147264,151233,0,0
34,2020-12-01 20:52:05.563358,765,193,0.0,0.020630532553393408,147645,149455,0,0
35,2020-12-01 20:52:06.587381,778,182,0.0,0.020630532553393408,141596,145742,0,0
36,2020-12-01 20:52:07.611356,661,223,0.0,0.020630532553393408,147403,151426,0,0
37,2020-12-01 20:52:08.635276,684,204,0.0,0.020630532553393408,139536,155872,0,0
38,2020-12-01 20:52:09.695434,740,220,0.0,0.020630532553393408,162800,170154,0,0
39,2020-12-01 20:52:10.815292,720,230,0.0,0.020630532553393408,165600,172777,0,0
40,2020-12-01 20:52:11.867551,724,229,0.0,0.020630532553393408,165796,164889,0,0
41,2020-12-01 20:52:12.923497,710,216,0.0,0.020630532553393408,153360,170752,0,0
42,2020-12-01 20:52:13.948340,737,214,0.0,0.020630532553393408,157718,160689,0,0
43,2020-12-01 20:52:15.007383,757,191,0.0,0.020630532553393408,144587,150357,0,0
44,2020-12-01 20:52:16.063162,768,199,0.0,0.020630532553393408,152832,154534,0,0
45,2020-12-01 20:52:17.151346,767,195,0.0,0.020630532553393408,149565,156473,0,0
46,2020-12-01 20:52:18.203409,805,187,0.0,0.020630532553393408,150535,159978,0,0
47,2020-12-01 20:52:19.263339,747,193,0.0,0.020630532553393408,144171,151112,0,0
48,2020-12-01 20:52:20.320660,766,211,0.0,0.020630532553393408,161626,162673,0,0
49,2020-12-01 20:52:21.439878,780,192,0.0,0.020630532553393408,149760,162383,0,0
50,2020-12-01 20:52:22.522793,781,203,0.0,0.020630532553393408,158543,158764,0,0
51,2020-12-01 20:52:23.551356,725,197,0.0,0.020630532553393408,142825,146626,0,0
52,2020-12-01 20:52:24.699243,755,213,0.0,0.020630532553393408,160815,166164,0,0
53,2020-12-01 20:52:25.723121,723,200,0.0,0.020630532553393408,144600,151586,0,0
54,2020-12-01 20:52:26.747365,761,208,0.0,0.020630532553393408,158288,159675,0,0
55,2020-12-01 20:52:27.807937,753,205,0.0,0.020630532553393408,154365,164726,0,0
56,2020-12-01 20:52:28.895595,791,215,0.0,0.020630532553393408,170065,180854,0,0
57,2020-12-01 20:52:29.947243,718,235,0.0,0.020630532553393408,168730,166238,0,0
58,2020-12-01 20:52:30.971259,715,206,0.0,0.020630532553393408,147290,150828,0,0
59,2020-12-01 20:52:32.031267,785,183,0.0,0.020630532553393408,143655,151380,0,0
60,2020-12-01 20:52:33.051293,793,188,0.0,0.020630532553393408,149084,157205,0,0
61,2020-12-01 20:52:34.107311,729,209,0.0,0.020630532553393408,152361,155220,0,0
62,2020-12-01 20:52:35.163307,747,196,0.0,0.020630532553393408,146412,150901,0,0
63,2020-12-01 20:52:36.187640,811,181,0.0,0.020630532553393408,146791,150249,0,0
64,2020-12-01 20:52:37.211178,748,191,0.0,0.020630532553393408,142868,149130,0,0
65,2020-12-01 20:52:38.239426,727,198,0.0,0.020630532553393408,143946,146576,0,0
66,2020-12-01 20:52:39.291300,751,192,0.0,0.020630532553393408,144192,143981,0,0
67,2020-12-01 20:52:40.347262,742,194,0.0,0.020630532553393408,143948,153814,0,0
68,2020-12-01 20:52:41.403337,748,193,0.0,0.020630532553393408,144364,147638,0,0
69,2020-12-01 20:52:42.431280,760,196,0.0,0.020630532553393408,148960,154641,0,0
70,2020-12-01 20:52:43.515276,806,198,0.0,0.020630532553393408,159588,166767,0,0
71,2020-12-01 20:52:44.539231,741,192,0.0,0.020630532553393408,142272,148667,0,0
72,2020-12-01 20:52:45.563351,740,200,0.0,0.020630532553393408,148000,149415,0,0
73,2020-12-01 20:52:46.651122,767,196,0.0,0.020630532553393408,150332,157334,0,0
74,2020-12-01 20:52:47.674661,715,190,0.0,0.020630532553393408,135850,148577,0,0
75,2020-12-01 20:52:48.731296,752,187,0.0,0.020630532553393408,140624,151758,0,0
76,2020-12-01 20:52:49.787439,756,205,0.0,0.020630532553393408,154980,156132,0,0
77,2020-12-01 20:52:50.843290,743,200,0.0,0.020630532553393408,148600,152480,0,0
78,2020-12-01 20:52:51.867338,729,192,0.0,0.020630532553393408,139968,155516,0,0
79,2020-12-01 20:52:52.891355,739,202,0.0,0.020630532553393408,149278,145634,0,0
80,2020-12-01 20:52:53.951163,681,212,0.0,0.020630532553393408,144372,151743,0,0
81,2020-12-01 20:52:55.007383,756,205,0.0,0.020630532553393408,154980,158341,0,0
82,2020-12-01 20:52:56.091268,706,190,0.0,0.020630532553393408,134140,144750,0,0
83,2020-12-01 20:52:57.115471,707,210,0.0,0.020630532553393408,148470,150616,0,0
84,2020-12-01 20:52:58.175338,718,199,0.0,0.020630532553393408,142882,162403,0,0
85,2020-12-01 20:52:59.227340,770,195,0.0,0.020630532553393408,150150,150398,0,0
86,2020-12-01 20:53:00.251260,732,195,0.0,0.020630532553393408,142740,146564,0,0
87,2020-12-01 20:53:01.275423,696,198,0.0,0.020630532553393408,137808,150299,0,0
88,2020-12-01 20:53:02.299562,728,193,0.0,0.020630532553393408,140504,148720,0,0
89,2020-12-01 20:53:03.355252,744,198,0.0,0.020630532553393408,147312,157248,0,0
90,2020-12-01 20:53:04.443198,703,229,0.0,0.020630532553393408,160987,167650,0,0
91,2020-12-01 20:53:05.467194,735,199,0.0,0.020630532553393408,146265,142618,0,0
92,2020-12-01 20:53:06.522930,657,206,0.0,0.020630532553393408,135342,144774,0,0
93,2020-12-01 20:53:07.547432,666,220,0.0,0.020630532553393408,146520,157188,0,0
94,2020-12-01 20:53:08.571427,663,213,0.0,0.020630532553393408,141219,148788,0,0
95,2020-12-01 20:53:09.627448,663,224,0.0,0.020630532553393408,148512,170093,0,0
96,2020-12-01 20:53:10.683301,770,203,0.0,0.020630532553393408,156310,143992,0,0
97,2020-12-01 20:53:11.706722,722,189,0.0,0.020630532553393408,136458,152488,0,0
98,2020-12-01 20:53:12.767464,736,198,0.0,0.020630532553393408,145728,149753,0,0
99,2020-12-01 20:53:13.819729,745,205,0.0,0.020630532553393408,152725,155748,0,0
100,2020-12-01 20:53:14.874599,760,189,0.0,0.020630532553393408,143640,157197,0,0
101,2020-12-01 20:53:15.963896,721,202,0.0,0.020630532553393408,145642,147134,0,0
