,time,avg_packet_len,packet_count,cpu_usage,mem_usage,bandwidth_calc,bandwidth,bandwidth_limit
0,2020-12-01 14:09:58.111308,414,55,0,1.10433165497644,22770,45968,0
1,2020-12-01 14:09:59.199422,452,122,0.9,1.10433165497644,55144,75113,0
2,2020-12-01 14:10:00.251099,842,215,1.9,1.10433165497644,181030,168010,0
3,2020-12-01 14:10:01.275062,569,125,2,1.10433165497644,71125,125593,0
4,2020-12-01 14:10:02.299136,808,198,2,1.10433165497644,159984,127577,0
5,2020-12-01 14:10:03.323331,717,155,2,1.10433165497644,111135,108646,0
6,2020-12-01 14:10:04.351109,552,124,1,1.10433165497644,68448,61724,0
7,2020-12-01 14:10:05.371141,539,119,2.9,1.10433165497644,64141,64627,0
8,2020-12-01 14:10:06.395158,372,104,8.8,1.10433165497644,38688,24919,0
9,2020-12-01 14:10:07.419089,303,86,2,1.10433165497644,26058,28075,0
10,2020-12-01 14:10:08.475105,342,100,1.9,1.10433165497644,34200,42657,0
11,2020-12-01 14:10:09.531636,351,94,0.9,1.10433165497644,32994,25886,0
12,2020-12-01 14:10:10.623265,253,93,2.7,1.10433165497644,23529,23794,0
13,2020-12-01 14:10:11.707079,196,84,1.8,1.10433165497644,16464,14537,0
14,2020-12-01 14:10:12.767152,289,88,1.9,1.10433165497644,25432,28619,0
15,2020-12-01 14:10:13.819033,261,94,2.9,1.10433165497644,24534,33790,0
16,2020-12-01 14:10:14.847246,255,72,1.9,1.10433165497644,18360,18881,0
17,2020-12-01 14:10:15.871018,181,77,1,1.10433165497644,13937,16680,0
18,2020-12-01 14:10:16.923266,237,74,1.9,1.10433165497644,17538,43588,0
19,2020-12-01 14:10:17.947041,789,183,1,1.10433165497644,144387,136806,0
20,2020-12-01 14:10:18.971993,665,129,2,1.10433165497644,85785,90639,0
21,2020-12-01 14:10:19.995159,673,130,2,1.10433165497644,87490,91429,0
22,2020-12-01 14:10:21.023105,694,139,1,1.10433165497644,96466,111850,0
23,2020-12-01 14:10:22.075098,876,220,1.9,1.10433165497644,192720,171526,0
24,2020-12-01 14:10:23.131096,576,119,0.9,1.10433165497644,68544,67238,0
25,2020-12-01 14:10:24.155086,522,98,1,1.10433165497644,51156,58549,0
26,2020-12-01 14:10:25.215084,686,144,2.8,1.10433165497644,98784,106028,0
27,2020-12-01 14:10:26.271340,894,243,0.9,1.10433165497644,217242,221819,0
28,2020-12-01 14:10:27.323072,669,148,1,1.10433165497644,99012,92844,0
29,2020-12-01 14:10:28.379105,463,96,1.9,1.10433165497644,44448,32208,0
30,2020-12-01 14:10:29.435000,586,118,1.9,1.10433165497644,69148,115031,0
31,2020-12-01 14:10:30.459029,870,228,1,1.10433165497644,198360,199135,0
32,2020-12-01 14:10:31.515073,760,160,1.9,1.10433165497644,121600,92128,0
33,2020-12-01 14:10:32.539329,610,112,1,1.10433165497644,68320,66977,0
34,2020-12-01 14:10:33.595108,682,136,0.9,1.10433165497644,92752,87029,0
35,2020-12-01 14:10:34.619059,374,85,2.9,1.10433165497644,31790,34084,0
36,2020-12-01 14:10:35.643042,605,116,1,1.10433165497644,70180,69767,0
37,2020-12-01 14:10:36.699144,398,91,0.9,1.10433165497644,36218,35514,0
